,Season,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,Attendance,Venue,Referee,xG Diff,Actual Diff,League
1872,2021-2022,17.0,2021-12-04,19:00,Lille,Troyes,2,1,1.4,0.3,28286.0,Stade Pierre-Mauroy,Benoît Bastien,1.0999999999999999,1.0,Ligue1
1873,2021-2022,17.0,2021-12-04,21:00,Lens,Paris S-G,1,1,1.1,1.9,36685.0,Stade Bollaert-Delelis,François Letexier,-0.7999999999999998,0.0,Ligue1
1874,2021-2022,17.0,2021-12-05,13:00,Saint-Étienne,Rennes,0,5,0.5,2.6,11257.0,Stade Geoffroy-Guichard,Thomas Léonard,-2.1,-5.0,Ligue1
1875,2021-2022,17.0,2021-12-05,15:00,Montpellier,Clermont Foot,1,0,0.9,0.4,9643.0,Stade de la Mosson,Florent Batta,0.5,1.0,Ligue1
1876,2021-2022,17.0,2021-12-05,15:00,Monaco,Metz,4,0,1.6,0.6,4923.0,Stade Louis II.,Bastien Dechepy,1.0,4.0,Ligue1
1877,2021-2022,17.0,2021-12-05,15:00,Reims,Angers,1,2,1.2,2.2,8238.0,Stade Auguste-Delaune II,Johan Hamel,-1.0000000000000002,-1.0,Ligue1
1878,2021-2022,17.0,2021-12-05,15:00,Lorient,Nantes,0,1,0.9,0.2,16025.0,Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,0.7,-1.0,Ligue1
1879,2021-2022,17.0,2021-12-05,17:00,Nice,Strasbourg,0,3,1.3,2.6,16220.0,Stade de Nice,Jérémie Pignard,-1.3,-3.0,Ligue1
1880,2021-2022,17.0,2021-12-05,20:45,Bordeaux,Lyon,2,2,2.6,2.3,25210.0,Stade Matmut-Atlantique,Jérôme Brisard,0.30000000000000027,0.0,Ligue1
1882,2021-2022,18.0,2021-12-10,21:00,Nantes,Lens,3,2,1.4,1.0,21890.0,Stade de la Beaujoire - Louis Fonteneau,Stéphanie Frappart,0.3999999999999999,1.0,Ligue1
1883,2021-2022,18.0,2021-12-11,17:00,Brest,Montpellier,0,4,0.9,1.6,13111.0,Stade Francis-Le Blé,Benoît Millot,-0.7000000000000001,-4.0,Ligue1
1884,2021-2022,18.0,2021-12-11,21:00,Reims,Saint-Étienne,2,0,2.3,0.1,12019.0,Stade Auguste-Delaune II,Pierre Gaillouste,2.1999999999999997,2.0,Ligue1
1885,2021-2022,18.0,2021-12-12,13:00,Lille,Lyon,0,0,1.5,0.4,40248.0,Stade Pierre-Mauroy,Amaury Delerue,1.1,0.0,Ligue1
1886,2021-2022,18.0,2021-12-12,15:00,Angers,Clermont Foot,0,1,1.7,1.7,8149.0,Stade Raymond Kopa,Jeremy Stinat,0.0,-1.0,Ligue1
1887,2021-2022,18.0,2021-12-12,15:00,Rennes,Nice,1,2,1.6,1.4,27892.0,Roazhon Park,Willy Delajod,0.20000000000000018,-1.0,Ligue1
1888,2021-2022,18.0,2021-12-12,15:00,Troyes,Bordeaux,1,2,1.5,1.3,7950.0,Stade de l'Aube,Romain Lissorgue,0.19999999999999996,-1.0,Ligue1
1889,2021-2022,18.0,2021-12-12,15:00,Metz,Lorient,4,1,1.1,1.4,14037.0,Stade Saint-Symphorien,Eric Wattellier,-0.2999999999999998,3.0,Ligue1
1890,2021-2022,18.0,2021-12-12,17:00,Strasbourg,Marseille,0,2,1.9,0.7,26028.0,Stade de la Meinau,Mikael Lesage,1.2,-2.0,Ligue1
1891,2021-2022,18.0,2021-12-12,20:45,Paris S-G,Monaco,2,0,1.6,0.7,41154.0,Parc des Princes,Benoît Bastien,0.9000000000000001,2.0,Ligue1
1893,2021-2022,19.0,2021-12-22,21:00,Lyon,Metz,1,1,2.3,0.5,34867.0,Groupama Stadium,Pierre Gaillouste,1.7999999999999998,0.0,Ligue1
1894,2021-2022,19.0,2021-12-22,21:00,Saint-Étienne,Nantes,0,1,1.0,0.9,23681.0,Stade Geoffroy-Guichard,Clément Turpin,0.09999999999999998,-1.0,Ligue1
1895,2021-2022,19.0,2021-12-22,21:00,Lorient,Paris S-G,1,1,1.6,1.8,16603.0,Stade Yves Allainmat - Le Moustoir,Jérémie Pignard,-0.19999999999999996,0.0,Ligue1
1896,2021-2022,19.0,2021-12-22,21:00,Nice,Lens,2,1,0.9,1.0,22065.0,Stade de Nice,Jérôme Brisard,-0.09999999999999998,1.0,Ligue1
1897,2021-2022,19.0,2021-12-22,21:00,Monaco,Rennes,2,1,1.8,1.4,5354.0,Stade Louis II.,Ruddy Buquet,0.40000000000000013,1.0,Ligue1
1898,2021-2022,19.0,2021-12-22,21:00,Marseille,Reims,1,1,1.4,0.8,55908.0,Orange Vélodrome,François Letexier,0.5999999999999999,0.0,Ligue1
1899,2021-2022,19.0,2021-12-22,21:00,Montpellier,Angers,4,1,1.1,0.6,10990.0,Stade de la Mosson,Hugo Miguel,0.5000000000000001,3.0,Ligue1
1900,2021-2022,19.0,2021-12-22,21:00,Troyes,Brest,1,1,1.2,0.6,6872.0,Stade de l'Aube,Johan Hamel,0.6,0.0,Ligue1
1901,2021-2022,19.0,2021-12-22,21:00,Bordeaux,Lille,2,3,1.2,1.3,39967.0,Stade Matmut-Atlantique,Mikael Lesage,-0.10000000000000009,-1.0,Ligue1
1903,2021-2022,20.0,2022-01-07,21:00,Bordeaux,Marseille,0,1,0.5,2.4,,Stade Matmut-Atlantique,Eric Wattellier,-1.9,-1.0,Ligue1
1904,2021-2022,20.0,2022-01-08,21:00,Lens,Rennes,1,0,0.8,0.5,5000.0,Stade Bollaert-Delelis,Benoît Bastien,0.30000000000000004,1.0,Ligue1
1905,2021-2022,20.0,2022-01-09,13:00,Brest,Nice,0,3,1.6,1.2,5102.0,Stade Francis-Le Blé,Stéphanie Frappart,0.40000000000000013,-3.0,Ligue1
1906,2021-2022,20.0,2022-01-09,15:00,Metz,Strasbourg,0,2,0.3,2.6,5000.0,Stade Saint-Symphorien,Antony Gautier,-2.3000000000000003,-2.0,Ligue1
1907,2021-2022,20.0,2022-01-09,15:00,Clermont Foot,Reims,0,0,0.9,0.9,4923.0,Stade Gabriel Montpied,Romain Lissorgue,0.0,0.0,Ligue1
1908,2021-2022,20.0,2022-01-09,17:05,Nantes,Monaco,0,0,0.4,0.8,4133.0,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,-0.4,0.0,Ligue1
1909,2021-2022,20.0,2022-01-09,20:45,Lyon,Paris S-G,1,1,1.0,1.0,4977.0,Groupama Stadium,François Letexier,0.0,0.0,Ligue1
1911,2021-2022,21.0,2022-01-14,21:00,Nice,Nantes,2,1,1.7,0.4,5000.0,Stade de Nice,Ruddy Buquet,1.2999999999999998,1.0,Ligue1
1912,2021-2022,21.0,2022-01-15,17:00,Saint-Étienne,Lens,1,2,1.3,0.9,5000.0,Stade Geoffroy-Guichard,François Letexier,0.4,-1.0,Ligue1
1913,2021-2022,21.0,2022-01-15,21:00,Paris S-G,Brest,2,0,2.0,1.0,4925.0,Parc des Princes,Mikael Lesage,1.0,2.0,Ligue1
1914,2021-2022,21.0,2022-01-16,13:00,Rennes,Bordeaux,6,0,3.1,0.3,4951.0,Roazhon Park,Bastien Dechepy,2.8000000000000003,6.0,Ligue1
1915,2021-2022,21.0,2022-01-16,15:00,Reims,Metz,0,1,0.6,0.8,3923.0,Stade Auguste-Delaune II,Jérémie Pignard,-0.20000000000000007,-1.0,Ligue1
1916,2021-2022,21.0,2022-01-16,15:00,Monaco,Clermont Foot,4,0,3.6,0.4,2633.0,Stade Louis II.,Jeremy Stinat,3.2,4.0,Ligue1
1917,2021-2022,21.0,2022-01-16,15:00,Lorient,Angers,0,0,0.5,0.4,4387.0,Stade Yves Allainmat - Le Moustoir,Johan Hamel,0.09999999999999998,0.0,Ligue1
1918,2021-2022,21.0,2022-01-16,15:00,Strasbourg,Montpellier,3,1,1.6,0.6,5217.0,Stade de la Meinau,Pierre Gaillouste,1.0,2.0,Ligue1
1919,2021-2022,21.0,2022-01-16,17:05,Troyes,Lyon,0,1,0.4,2.8,4224.0,Stade de l'Aube,Jérôme Brisard,-2.4,-1.0,Ligue1
1920,2021-2022,21.0,2022-01-16,20:45,Marseille,Lille,1,1,1.7,0.7,5034.0,Orange Vélodrome,Amaury Delerue,1.0,0.0,Ligue1
1922,2021-2022,19.0,2022-01-19,19:00,Clermont Foot,Strasbourg,0,2,0.6,1.5,4219.0,Stade Gabriel Montpied,Bastien Dechepy,-0.9,-2.0,Ligue1
1924,2021-2022,20.0,2022-01-19,19:00,Montpellier,Troyes,0,1,0.9,0.8,4943.0,Stade de la Mosson,Jeremy Stinat,0.09999999999999998,-1.0,Ligue1
1925,2021-2022,20.0,2022-01-19,19:00,Lille,Lorient,3,1,1.7,1.1,4834.0,Stade Pierre-Mauroy,Florent Batta,0.5999999999999999,2.0,Ligue1
1927,2021-2022,22.0,2022-01-21,21:00,Lyon,Saint-Étienne,1,0,1.8,0.3,5000.0,Groupama Stadium,Antony Gautier,1.5,1.0,Ligue1
1928,2021-2022,22.0,2022-01-22,17:00,Brest,Lille,2,0,1.2,1.2,4358.0,Stade Francis-Le Blé,Jérôme Brisard,0.0,2.0,Ligue1
1929,2021-2022,22.0,2022-01-22,21:00,Lens,Marseille,0,2,0.8,1.3,5000.0,Stade Bollaert-Delelis,Stéphanie Frappart,-0.5,-2.0,Ligue1
1930,2021-2022,22.0,2022-01-23,13:00,Metz,Nice,0,2,0.4,1.9,5000.0,Stade Saint-Symphorien,Amaury Delerue,-1.5,-2.0,Ligue1
1931,2021-2022,22.0,2022-01-23,15:00,Clermont Foot,Rennes,2,1,1.1,1.7,4535.0,Stade Gabriel Montpied,Thomas Léonard,-0.5999999999999999,1.0,Ligue1
1932,2021-2022,22.0,2022-01-23,15:00,Nantes,Lorient,4,2,0.9,2.1,4275.0,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,-1.2000000000000002,2.0,Ligue1
1933,2021-2022,22.0,2022-01-23,15:00,Angers,Troyes,2,1,2.4,1.7,5000.0,Stade Raymond Kopa,Romain Lissorgue,0.7,1.0,Ligue1
1934,2021-2022,22.0,2022-01-23,15:00,Bordeaux,Strasbourg,4,3,1.9,1.9,3308.0,Stade Matmut-Atlantique,Mikael Lesage,0.0,1.0,Ligue1
1935,2021-2022,22.0,2022-01-23,17:05,Montpellier,Monaco,3,2,1.7,1.2,5000.0,Stade de la Mosson,Jérémie Pignard,0.5,1.0,Ligue1
1936,2021-2022,22.0,2022-01-23,20:45,Paris S-G,Reims,4,0,2.3,0.5,5000.0,Parc des Princes,Eric Wattellier,1.7999999999999998,4.0,Ligue1
1938,2021-2022,20.0,2022-01-26,19:00,Angers,Saint-Étienne,0,1,0.4,0.4,,Stade Raymond Kopa,Clément Turpin,0.0,-1.0,Ligue1
1940,2021-2022,14.0,2022-02-01,21:00,Lyon,Marseille,2,1,1.2,0.4,,Groupama Stadium,Benoît Bastien,0.7999999999999999,1.0,Ligue1
1942,2021-2022,23.0,2022-02-04,21:00,Marseille,Angers,5,2,2.6,0.4,60000.0,Orange Vélodrome,Jeremy Stinat,2.2,3.0,Ligue1
1943,2021-2022,23.0,2022-02-05,17:00,Saint-Étienne,Montpellier,3,1,2.0,0.6,20000.0,Stade Geoffroy-Guichard,Thomas Léonard,1.4,2.0,Ligue1
1944,2021-2022,23.0,2022-02-05,21:00,Monaco,Lyon,2,0,2.3,1.3,6550.0,Stade Louis II.,Ruddy Buquet,0.9999999999999998,2.0,Ligue1
1945,2021-2022,23.0,2022-02-06,13:00,Lorient,Lens,2,0,1.5,0.4,10687.0,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,1.1,2.0,Ligue1
1946,2021-2022,23.0,2022-02-06,15:00,Reims,Bordeaux,5,0,2.0,0.1,8858.0,Stade Auguste-Delaune II,Antony Gautier,1.9,5.0,Ligue1
1947,2021-2022,23.0,2022-02-06,15:00,Nice,Clermont Foot,0,1,1.0,1.5,18022.0,Stade de Nice,Jérôme Brisard,-0.5,-1.0,Ligue1
1948,2021-2022,23.0,2022-02-06,15:00,Troyes,Metz,0,0,0.6,0.5,7227.0,Stade de l'Aube,Pierre Gaillouste,0.09999999999999998,0.0,Ligue1
1949,2021-2022,23.0,2022-02-06,15:00,Strasbourg,Nantes,1,0,1.4,0.4,22240.0,Stade de la Meinau,Amaury Delerue,0.9999999999999999,1.0,Ligue1
1950,2021-2022,23.0,2022-02-06,17:00,Rennes,Brest,2,0,2.1,0.4,25409.0,Roazhon Park,Johan Hamel,1.7000000000000002,2.0,Ligue1
1951,2021-2022,23.0,2022-02-06,20:45,Lille,Paris S-G,1,5,1.0,3.9,48437.0,Stade Pierre-Mauroy,François Letexier,-2.9,-4.0,Ligue1
1953,2021-2022,24.0,2022-02-11,21:00,Paris S-G,Rennes,1,0,0.9,0.8,47000.0,Parc des Princes,Benoît Bastien,0.09999999999999998,1.0,Ligue1
1954,2021-2022,24.0,2022-02-12,17:00,Montpellier,Lille,0,1,1.0,1.3,11784.0,Stade de la Mosson,Stéphanie Frappart,-0.30000000000000004,-1.0,Ligue1
1955,2021-2022,24.0,2022-02-12,21:00,Lyon,Nice,2,0,2.4,0.1,41974.0,Groupama Stadium,Benoît Millot,2.3,2.0,Ligue1
1956,2021-2022,24.0,2022-02-13,13:00,Monaco,Lorient,0,0,1.2,0.1,3963.0,Stade Louis II.,Bastien Dechepy,1.0999999999999999,0.0,Ligue1
1957,2021-2022,24.0,2022-02-13,15:00,Angers,Strasbourg,0,1,0.5,0.3,6521.0,Stade Raymond Kopa,Pierre Gaillouste,0.2,-1.0,Ligue1
1958,2021-2022,24.0,2022-02-13,15:00,Brest,Troyes,5,1,2.7,0.5,10600.0,Stade Francis-Le Blé,Florent Batta,2.2,4.0,Ligue1
