,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
171,16.0,Wed,2019-12-04,21:05,Paris S-G,1.9,2–0,0.6,Nantes,47485.0,Parc des Princes,Amaury Delerue,Match Report,
172,,,,,,,,,,,,,,
173,17.0,Fri,2019-12-06,19:00,Lille,2.6,1–0,0.3,Brest,32682.0,Stade Pierre-Mauroy,Eric Wattellier,Match Report,
174,17.0,Fri,2019-12-06,20:45,Nîmes,0.2,0–4,3.2,Lyon,12801.0,Stade des Costières,Olivier Thual,Match Report,
175,17.0,Sat,2019-12-07,17:30,Montpellier,0.4,1–3,1.2,Paris S-G,20197.0,Stade de la Mosson,Antony Gautier,Match Report,
176,17.0,Sat,2019-12-07,20:00,Strasbourg,2.3,4–2,1.7,Toulouse,23634.0,Stade de la Meinau,Johan Hamel,Match Report,
177,17.0,Sat,2019-12-07,20:00,Monaco,2.4,3–0,0.4,Amiens,4203.0,Stade Louis II.,Jeremy Stinat,Match Report,
178,17.0,Sat,2019-12-07,20:00,Nice,1.6,4–1,1.7,Metz,14967.0,Stade de Nice,Jérémie Pignard,Match Report,
179,17.0,Sat,2019-12-07,20:00,Rennes,1.2,2–1,0.8,Angers,25656.0,Roazhon Park,Amaury Delerue,Match Report,
180,17.0,Sun,2019-12-08,15:00,Reims,1.2,3–1,0.6,Saint-Étienne,14512.0,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,
181,17.0,Sun,2019-12-08,17:00,Nantes,1.2,1–0,0.5,Dijon,16001.0,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
182,17.0,Sun,2019-12-08,21:00,Marseille,1.9,3–1,0.1,Bordeaux,52079.0,Orange Vélodrome,Mikael Lesage,Match Report,
183,,,,,,,,,,,,,,
184,18.0,Fri,2019-12-13,20:45,Lille,2.0,2–1,1.3,Montpellier,30170.0,Stade Pierre-Mauroy,Jérôme Brisard,Match Report,
185,18.0,Sat,2019-12-14,17:30,Metz,1.1,1–1,1.8,Marseille,20586.0,Stade Saint-Symphorien,Willy Delajod,Match Report,
186,18.0,Sat,2019-12-14,20:00,Angers,1.1,0–0,0.4,Monaco,9959.0,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Match Report,
187,18.0,Sat,2019-12-14,20:00,Brest,2.0,0–0,1.2,Nice,13042.0,Stade Francis-Le Blé,Franck Schneider,Match Report,
188,18.0,Sat,2019-12-14,20:00,Toulouse,0.8,0–1,1.3,Reims,12577.0,Stadium Municipal,Clément Turpin,Match Report,
189,18.0,Sat,2019-12-14,20:00,Nîmes,0.8,0–1,1.4,Nantes,12098.0,Stade des Costières,Karim Abed,Match Report,
190,18.0,Sat,2019-12-14,20:00,Amiens,0.4,1–1,1.0,Dijon,10530.0,Stade Crédit Agricole la Licorne,Thomas Léonard,Match Report,
191,18.0,Sun,2019-12-15,15:00,Bordeaux,1.4,0–1,0.6,Strasbourg,18710.0,Stade Matmut-Atlantique,Florent Batta,Match Report,
192,18.0,Sun,2019-12-15,17:00,Lyon,0.6,0–1,2.1,Rennes,45010.0,Groupama Stadium,Benoît Bastien,Match Report,
193,18.0,Sun,2019-12-15,21:00,Saint-Étienne,1.1,0–4,4.3,Paris S-G,36391.0,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
194,,,,,,,,,,,,,,
195,19.0,Sat,2019-12-21,20:45,Montpellier,2.1,4–0,0.9,Brest,12975.0,Stade de la Mosson,Jeremy Stinat,Match Report,
